RestaurantID,Cuisine,Rating,NumberOfReview,Recommended
"54om5q7V4anmIXw2PdNJbA","Chinese",4,25,1
"eVDV1ALwvre01Xo8v6BCoQ","Chinese",4,88,1
"croh2zWlbPyCQTNS11klcg","Szechuan",4,48,1
"A_fZL0ir_actclrL_ePTOw","Chinese",5,10,1
"38KDbZ8yuozUbswBr6OWVA","Chinese",3.5,235,1
"tS4aiWBYgzlqKX898jr3_w","Chinese",4,128,1
"7ZQSMqWzvXMSetXnii2fBg","Dim Sum",4,356,1
"gJXNSJ9VXTuCFmp_Kl9TVQ","Chinese",4,65,1
"9_vKFnUby_6_pR6UJxjzMw","Chinese",4.5,124,1
"8ig0yf0003DAp4YOGTlbVg","Chinese",4,485,1
"2rSmA4IK51QAQj60YGvjnw","Asian Fusion",4.5,12,1
"M_odQWSEfsR2mVEw7nKG_g","Asian Fusion",4,1772,1
"6hacsz7FUwprKTjJb6KFog","Shanghainese",3.5,1262,1
"0vg2Z_HPwkyVVX613j2ysg","Chinese",4.5,262,1
"scTDvJ2M2jDbb1ntVeIyxA","Chinese",3.5,349,1
"97q5nUQTuBo_h00XCxna2A","Chinese",4,1353,1
"sfsjk1h50ooC2ioY7m48gw","Barbeque",4,206,1
"rHg81VzTGVREMCfMmgYMog","Chinese",4.5,24,1
"1fVp9c5Vw04ig171a_juRw","Chinese",4,39,1
"oJjMYhA6z1_BVaQpSdyl8g","Chinese",4,125,1
"gQ6DNeLNWQV_zwWyuFeBpg","Chinese",3,137,1
"2rqb2T5IS2D7A6UB5QwNKw","Chinese",4,225,1
"kBZggrnSP1kcUMnsnfkTaQ","Shanghainese",4,2884,1
"UNyGz06_7RendbswIyNYtA","Chinese",3.5,124,1
"k8GFfCXO2FIIJIo0ICYSRA","Noodles",4,35,1
"a93NwZxjkPQydJxR42oPyg","Szechuan",3.5,14,1
"3K7Kc82bhU6_qjAjsBs3Fw","Chinese",4,493,1
"x64xHVZoQj1ZOjzPqVprkw","Chinese",4,178,1
"ye_TSU_mu1Gd5TAJOpI5Mg","Chinese",3,236,1
"Lbs8QBRN1U7IYBo5Mcv_RQ","Chinese",4,1375,1
"wurhcLKXD4YJ5XfTxpbE5Q","Chinese",3.5,387,1
"IhSVn0TaX8xXb3wcQ_fgcA","Chinese",4,2227,1
"vWEKZVPIYFewfqCOkkvVIQ","Chinese",3.5,35,1
"SNhDVaf_n7VDZcfry8mYdA","Chinese",3.5,912,1
"kwGaeWUVC_MIxMFw0sM_Ww","Chinese",4,39,1
"YzyHW3w0HUyaG8EvplNT1A","Shanghainese",4.5,276,1
"83ZcxzvtHX2PmsH_wPReOw","Szechuan",4,205,1
"nI1UYDCYUTt23TpGxqnLKg","Chinese",4,3378,1
"tsTGTBrz2TqrYRgdr6vEJQ","Chinese",4,37,1
"C7CFAdrczXxNhnN_MNJqmw","Chinese",4,582,1
"X8ZS_dgiMIJvhwf9SaDnjw","Chinese",4.5,944,1
"0CjK3esfpFcxIopebzjFxA","Shanghainese",4,5058,1
"lynQoI3w_pzYfHGeuUU_Qg","Chinese",4.5,482,1
"0dDCDQz7DrKkSvu9h2hcQw","Chinese",4.5,67,1
"_XLLSXPIjgoZQtwU3RCcQA","Chinese",4,255,1
"wfhMIiMh2A2psCGONOVSlg","Szechuan",4,994,1
"xq0cX_DgxiJMXwhmEl9kUA","Szechuan",4,1042,1
"xH7mEjh4Rn6KdHjXYNoOjw","Shanghainese",4,554,1
"FXhSEZfIqjMZh4hR0_8jMQ","Chinese",4,292,1
"vZgJyMZlpSSS_Y_duxd4_A","Chinese",4,216,1
