RestaurantID,Cuisine,Rating,NumberOfReview
"rlJ2Moc6A9R3qpYJlR8D3Q","Chinese",4,23
"mxjv5RgkTr5qw3wjr2fXmA","Chinese",4,134
"W_i6X2KWxRjsG05CgIM9ow","Chinese",4.5,5
"OWALknbRruLyO8KFPATf_Q","Chinese",4,23
"7yi9uA_LmrGpG6OOuK2byg","Chinese",4,19
"Qgv2vyUV_DwK8YwrhU_jtw","Chinese",3.5,55
"KFmlknh94aV5MjFpZtsVqA","Chinese",3.5,37
"D13m2P0qKQUWNqIW_lpHZg","Shanghainese",4,103
"e6c0R0ME8QGw_ZY0RzuGxQ","Chinese",4,22
"Va_mnsEvBghHXvc7uZIWJQ","Indian",4,474
"u5_S5ElOzXnavuZ2gFsCpg","Chinese",3.5,155
"WzdVUuFIv1JzLPTZRnTjVA","Bars",4,175
"wDRgZ1i7xcJ51xgtfO_fxQ","Chinese",3.5,268
"_f6jjUliJY8IVrgkcgG_zw","Chinese",4.5,10
"AxalkZb61r5Ks7l1yhhIHQ","Szechuan",3.5,155
"dSZH0XgoZ_AT0qezA9Xx_g","Chinese",4,14
"OfqANzeWRlZrdHQuG7pI0w","Chinese",3,144
"OXTcpNk9ZXuOxPnjpcSs7w","Chinese",4,66
"S2NwTMDe4Vcs6nAoTeMYlA","Chinese",3.5,317
"AEkpyAGcVe5NgH2Nb7fCNQ","Chinese",3.5,183
"3qK7p7vhthzsUC0_aYTlrA","Chinese",4,2
"wPL0epJzosoFRYox1a5lvA","Chinese",3.5,67
"UJtUaOXnwtQA1rb_4BHsCg","Chinese",3.5,29
"XiIBASyS65DX3E_staW0JQ","Chinese",4,302
"EDLKX7cCxPbmbmo1XG3xJQ","Szechuan",3,415
"eMmcNV51xPKNGMCqBccPvw","Cantonese",4,167
"gPId7ENK1ZA1qrNwI4z4UQ","Szechuan",4,74
"VQ5YGa4L4AT3ugF61hM9qQ","Street Vendors",4.5,13
"yuXmo3XGH_G_wY7g3gpeAg","Chinese",3.5,36
"QFOYvQK9y2jM7ue_DXkw2g","Chinese",4,22
"gNFgZSfndMAjK0ClvQ5Q2A","Chinese",3.5,15
"Tk605KjXVTnXpGkOSuVBaQ","Japanese",4.5,14
"vkgl6UT8e7PXoVZUhxXq8w","Chinese",3.5,31
"c1HgKFOT4Cc7TqWQD5mQBQ","Food Stands",4.5,43
